customer_id,customer_name,email,country_code,customer_segment,updated_at
C00001,Customer 00001,customer00001@example.com,CH,enterprise,2025-01-01T00:00:00
C00002,Customer 00002,customer00002@example.com,AT,mid_market,2025-01-01T00:00:00
C00003,Customer 00003,customer00003@example.com,DE,mid_market,2025-01-01T00:00:00
C00004,Customer 00004,customer00004@example.com,CH,enterprise,2025-01-01T00:00:00
C00005,Customer 00005,customer00005@example.com,FR,enterprise,2025-01-01T00:00:00
C00006,Customer 00006,customer00006@example.com,CH,enterprise,2025-01-01T00:00:00
C00007,Customer 00007,customer00007@example.com,DE,mid_market,2025-01-01T00:00:00
C00008,Customer 00008,customer00008@example.com,CH,mid_market,2025-01-01T00:00:00
C00009,Customer 00009,customer00009@example.com,FR,mid_market,2025-01-01T00:00:00
C00010,Customer 00010,customer00010@example.com,FR,smb,2025-01-01T00:00:00
C00011,Customer 00011,customer00011@example.com,CH,mid_market,2025-01-01T00:00:00
C00012,Customer 00012,customer00012@example.com,FR,smb,2025-01-01T00:00:00
C00013,Customer 00013,customer00013@example.com,AT,mid_market,2025-01-01T00:00:00
C00014,Customer 00014,customer00014@example.com,DE,smb,2025-01-01T00:00:00
C00015,Customer 00015,customer00015@example.com,CH,enterprise,2025-01-01T00:00:00
C00016,Customer 00016,customer00016@example.com,FR,enterprise,2025-01-01T00:00:00
C00017,Customer 00017,customer00017@example.com,AT,smb,2025-01-01T00:00:00
C00018,Customer 00018,customer00018@example.com,AT,enterprise,2025-01-01T00:00:00
C00019,Customer 00019,customer00019@example.com,FR,enterprise,2025-01-01T00:00:00
C00020,Customer 00020,customer00020@example.com,FR,enterprise,2025-01-01T00:00:00
C00021,Customer 00021,customer00021@example.com,AT,smb,2025-01-01T00:00:00
C00022,Customer 00022,customer00022@example.com,DE,enterprise,2025-01-01T00:00:00
C00023,Customer 00023,customer00023@example.com,CH,mid_market,2025-01-01T00:00:00
C00024,Customer 00024,customer00024@example.com,AT,enterprise,2025-01-01T00:00:00
C00025,Customer 00025,customer00025@example.com,DE,enterprise,2025-01-01T00:00:00
C00026,Customer 00026,customer00026@example.com,FR,smb,2025-01-01T00:00:00
C00027,Customer 00027,customer00027@example.com,FR,smb,2025-01-01T00:00:00
C00028,Customer 00028,customer00028@example.com,DE,smb,2025-01-01T00:00:00
C00029,Customer 00029,customer00029@example.com,AT,mid_market,2025-01-01T00:00:00
C00030,Customer 00030,customer00030@example.com,AT,enterprise,2025-01-01T00:00:00
C00031,Customer 00031,customer00031@example.com,DE,mid_market,2025-01-01T00:00:00
C00032,Customer 00032,customer00032@example.com,DE,strategic,2025-01-01T00:00:00
C00033,Customer 00033,customer00033@example.com,FR,smb,2025-01-01T00:00:00
C00034,Customer 00034,customer00034@example.com,DE,smb,2025-01-01T00:00:00
C00035,Customer 00035,customer00035@example.com,CH,mid_market,2025-01-01T00:00:00
C00036,Customer 00036,customer00036@example.com,CH,smb,2025-01-01T00:00:00
C00037,Customer 00037,customer00037@example.com,FR,smb,2025-01-01T00:00:00
C00038,Customer 00038,customer00038@example.com,CH,mid_market,2025-01-01T00:00:00
C00039,Customer 00039,customer00039@example.com,AT,mid_market,2025-01-01T00:00:00
C00040,Customer 00040,customer00040@example.com,FR,strategic,2025-01-01T00:00:00
C00041,Customer 00041,customer00041@example.com,FR,mid_market,2025-01-01T00:00:00
C00042,Customer 00042,customer00042@example.com,AT,mid_market,2025-01-01T00:00:00
